,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
MUNDRAPORT,157.0,1378527.4777070063,1129500.3268173079,65561.0,692110.0,1088170.0,1615697.0,9280860.0,157.0,19842254777070.062,15745042125202.973,834000000000.0,9790000000000.0,16100000000000.0,23700000000000.0,129000000000000.0,157.0,0.5425292993630574,0.14209746486359215,0.1869,0.4402,0.5568,0.6368,0.9433,155.0,0.024487097548344015,0.007690725473483748,0.006779433856608764,0.017120105408330064,0.026273885147348908,0.029055980487668102,0.038494891065335844
NESTLEIND,2456.0,58351.13680781759,70288.9646907925,305.0,19587.25,37047.5,72247.75,1106746.0,2456.0,61483371969462.54,100204151447519.8,125847000000.0,10860175000000.0,23425750000000.0,68426375000000.0,1979040000000000.0,2456.0,0.6544349755700326,0.16314296194072764,0.131,0.5376,0.66085,0.7793749999999999,0.9888,2454.0,0.014178237618824276,0.005495491410060935,0.002187555546012666,0.010893319287818478,0.013258512198861747,0.016137538400626924,0.052417399726556714
NTPC,1.0,4004748.0,,4004748.0,4004748.0,4004748.0,4004748.0,4004748.0,1.0,69476302285000.0,,69476302285000.0,69476302285000.0,69476302285000.0,69476302285000.0,69476302285000.0,1.0,0.6659,,0.6659,0.6659,0.6659,0.6659,0.6659,0.0,,,,,,,
ONGC,1.0,1969133.0,,1969133.0,1969133.0,1969133.0,1969133.0,1969133.0,1.0,55485322675000.0,,55485322675000.0,55485322675000.0,55485322675000.0,55485322675000.0,55485322675000.0,1.0,0.436,,0.436,0.436,0.436,0.436,0.436,0.0,,,,,,,
POWERGRID,2456.0,5931319.207247557,8803108.048683017,34063.0,2571627.25,4271407.0,6951537.75,286173629.0,2456.0,97580265891693.81,139281194160871.5,382491000000.0,33479875000000.0,65952600000000.0,118418250000000.0,3228300000000000.0,2456.0,0.6322517508143323,0.1282354243969004,0.1531,0.5576749999999999,0.6508,0.71925,0.9314,2454.0,0.01442959514125205,0.005050157073837525,0.006005123002618324,0.011164707133832441,0.013454535003138483,0.016366546311257918,0.045446531171268484
SBIN,2456.0,19245700.539495114,22939179.849403154,88411.0,2541288.5,13109663.0,24505605.25,262677081.0,2456.0,650555792711726.4,545510006179143.3,15050900000000.0,345264250000000.0,475566500000000.0,752785250000000.0,8549080000000000.0,2456.0,0.30686530944625406,0.10381095693510393,0.0837,0.228925,0.29775,0.3771,0.7162,2454.0,0.02221515889741688,0.01839459870663397,0.005566617912616344,0.015213492466988247,0.019214536668774134,0.023967952172150014,0.19878409772779373
SESAGOA,586.0,2854326.6877133106,3075587.8587235436,82907.0,1378833.75,2024261.0,3037954.5,29122328.0,586.0,54695893805460.75,58791214937811.23,1532600000000.0,24633975000000.0,37756200000000.0,57906275000000.0,513795000000000.0,586.0,0.30863054607508533,0.09722452262873318,0.0968,0.239325,0.3039,0.37155,0.626,584.0,0.02547281169169074,0.009704489538744018,0.012183892083031993,0.020019007950932834,0.023494546927915166,0.02946045641224861,0.06762514681968584
SHREECEM,2456.0,24143.520765472313,32612.969492927434,32.0,6991.75,14530.5,28694.25,856719.0,2456.0,38599627792689.33,62439700772156.36,8931275000.0,4791830000000.0,17243100000000.0,42067600000000.0,965757000000000.0,2456.0,0.6215505700325733,0.20150664341355382,0.0539,0.5008250000000001,0.632,0.7685249999999999,0.9992,2454.0,0.017740551283614122,0.005400758046377214,0.0021900062671463463,0.014586985132492016,0.017141833934698543,0.020116160761303212,0.05080546527365163
SSLT,388.0,5996909.592783505,3653174.2349775205,267262.0,3627205.0,5065283.0,7008448.0,27704661.0,388.0,135818234407216.5,93820088681948.95,4933870000000.0,80478825000000.0,107497500000000.0,159559000000000.0,633148000000000.0,388.0,0.45189845360824743,0.10347057152025937,0.1601,0.3824,0.45530000000000004,0.514325,0.7407,386.0,0.02266640889221254,0.005584321194513866,0.010221922131427485,0.018666347340885972,0.02144986912196868,0.02678974466962768,0.03830872704064677
SUNPHARMA,1.0,531935.0,,531935.0,531935.0,531935.0,531935.0,531935.0,1.0,25028884075000.0,,25028884075000.0,25028884075000.0,25028884075000.0,25028884075000.0,25028884075000.0,1.0,0.6321,,0.6321,0.6321,0.6321,0.6321,0.6321,0.0,,,,,,,
